date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2011-12-09,100.078,109.30999999999999,100.102,100.28,100.44800000000001,100.58200000000001,8.286,1007.644,695.951,5.257,35.29519732258065,32.64455287096774,2.485646709677419,55.41003309648387,46.662940838580646,43.37567317635484,90.03861401493549
2011-12-16,96.064,106.26199999999999,96.05199999999999,96.25399999999999,96.46400000000001,96.676,7.545,997.074,695.951,5.257,35.36505935483871,32.635211258064516,2.429337580645161,55.42183329003226,46.226639674838715,43.10756805529032,89.33420773012904
2011-12-23,97.74000000000001,107.72200000000001,97.79599999999999,97.934,98.10600000000001,98.22,8.954,1000.973,695.951,5.257,35.43492138709677,32.62586964516129,2.373028451612903,55.43363348358065,45.79033851109678,42.83946293422581,88.62980144532258
2011-12-30,99.81,107.50666666666666,99.795,99.94749999999999,100.13,100.2525,8.988,1003.182,695.951,5.257,35.50478341935484,32.61652803225806,2.3167193225806453,55.44543367712903,45.35403734735484,42.57135781316129,87.92539516051613
2012-01-06,102.3875,112.51,102.3875,102.58000000000001,102.7925,102.98,9.871,1005.007,695.951,5.257,35.572086258064516,32.628623677419355,2.268332935483871,55.45285483470968,45.62544068135484,42.77338452822581,88.39882520958065
2012-01-13,100.432,111.776,100.44399999999999,100.648,100.886,101.144,8.228,1001.569,695.951,5.128,35.63836541935484,32.64929422580645,2.2231156451612906,55.45852437790323,46.179925814451614,43.16346397774194,89.34338979219356
2012-01-20,99.945,109.60000000000001,100.0375,100.125,100.39250000000001,100.7,8.816,1005.127,695.951,5.128,35.70464458064516,32.669964774193545,2.17789835483871,55.46419392109677,46.73441094754839,43.55354342725806,90.28795437480645
2012-01-27,99.354,109.17999999999999,99.438,99.766,100.12800000000001,100.434,8.843,1009.302,695.951,5.128,35.77092374193548,32.69063532258064,2.132681064516129,55.46986346429032,47.288896080645166,43.94362287677419,91.23251895741936
2012-02-03,97.8,111.196,97.81400000000001,98.186,98.614,99.004,8.376,1009.593,695.951,5.17,35.83490572413793,32.71452758620689,2.094839344827586,55.43262716186207,47.55996196406897,44.20790879334483,91.76787075741379
2012-02-10,98.56,117.208,98.50800000000001,98.92,99.532,100.17,8.719,1009.422,695.951,5.235,35.89314475862069,32.74647413793103,2.0754365517241378,55.28812624537931,47.12247972331035,44.15771087755172,91.28019060086207
2012-02-17,101.72599999999998,119.79400000000001,101.8,102.15,102.66,103.196,9.054,1011.055,695.951,5.235,35.951383793103446,32.77842068965517,2.0560337586206896,55.143625328896555,46.68499748255172,44.10751296175862,90.79251044431035
2012-02-24,107.175,123.335,107.42999999999999,107.865,108.315,108.63,9.15,1015.215,695.951,5.235,36.009622827586206,32.81036724137931,2.0366309655172414,54.99912441241379,46.2475152417931,44.05731504596552,90.30483028775862
2012-03-02,107.51999999999998,124.88,107.54400000000001,107.99599999999998,108.44000000000001,108.734,8.675,1016.063,695.951,5.235,36.06850403225806,32.84562080645161,2.02,54.87901665119355,45.83746582645161,43.99599102896774,89.83345685541934
