,n_splits,train_size,rmse_tr,r2_tr,mae_tr,rmse_tt,r2_tt,mae_tt
8859,43.0,13.0,1.0815305404556091e-13,1.0,8.335617301478385e-14,1961.9543401217088,-8.871501844595587,1640.2852053504757
11,2.0,21.0,1.5709696147943943,0.9902668614633283,1.2837594980205642,1996.3067133060486,-0.2343154455838623,1571.5422314284683
8643,42.0,13.0,1.0972856373522579e-13,1.0,8.484869298820244e-14,2007.038714860253,-9.059055584544248,1678.1008315315696
8427,41.0,13.0,1.1173885321280564e-13,1.0,8.659822910877318e-14,2054.8516218696045,-9.177862112120096,1718.11097847761
8211,40.0,13.0,1.1356688707735048e-13,1.0,8.810729923425243e-14,2100.619047835256,-9.310894543582549,1755.9329230628987
1084,7.0,14.0,8.61005610836296e-14,1.0,5.858352351981234e-14,2372.5208765552115,-2.030969641996338,1898.670803789537
660,5.0,22.0,2.4404300090644293,0.9900422409911812,1.9883928399643949,3336.3328996084006,-1.9980226944636903,2623.1843449882917
652,5.0,14.0,9.316442159351966e-14,1.0,6.577595611036355e-14,3521.840988561795,-3.3007027689300985,2992.9547905307845
5403,27.0,13.0,1.396826270617225e-13,1.0,1.0712798169921512e-13,3877.983813789603,-3.021078278171509,3417.819735911619
5187,26.0,13.0,1.4505503579486572e-13,1.0,1.1124828868764648e-13,4026.4103086754603,-3.156234732319682,3548.6810323688933
4971,25.0,13.0,1.4907357136825674e-13,1.0,1.1429899761704013e-13,4186.817996236659,-3.2809145740744845,3690.0006621076686
220,3.0,14.0,8.406076442059468e-14,1.0,5.1429759921683436e-14,4719.042603947704,-1.0769201418653165,3919.0163989698863
1516,9.0,14.0,2.6622029728464314e-13,1.0,1.872223716447248e-13,4880.855814641717,-0.8681898644918045,3520.637182997817
4107,21.0,13.0,1.565922924683841e-13,1.0,1.2076623787277896e-13,5703.5781168589065,-5.755709427197091,5144.096130442573
3891,20.0,13.0,1.630565723340807e-13,1.0,1.261486641641778e-13,5984.075074614366,-5.70319187847651,5397.287338366885
2596,14.0,14.0,4.635779375696967e-13,1.0,3.548363417152991e-13,9467.322835374047,-4.1022080319731815,8051.15039105348
1731,10.0,13.0,2.6234532041075285e-13,1.0,2.1032064978498967e-13,14035.119317494284,-10.870295184307942,13205.513708208458
1299,8.0,13.0,2.9027954154677944e-13,1.0,2.3611881680643326e-13,16712.445131164903,-3.194657798467065,15861.503122175973
1300,8.0,14.0,9.054917469308665e-13,1.0,6.740005379210093e-13,28403.272684884803,-5.036568792350179,26049.89654539674
4,2.0,14.0,1.7162302127769027e-12,1.0,1.3398805874333319e-12,74373.87367178264,-0.07241529132941038,63972.81914154266
4849,24.0,107.0,13.236808456918558,0.962432616335945,10.643438261764944,116598768720.82579,-9.701080258214281,78583581915.0856
4850,24.0,108.0,13.304611427989775,0.9619640743876211,10.689737019764388,116598768721.36464,-8.571370848173027,78583581915.48962
4877,24.0,135.0,15.208348542092978,0.9609969414257775,12.121536569335667,116598768721.41542,-20.192283936362,78583581916.4552
4848,24.0,106.0,13.177303760348357,0.9628025250336038,10.618396034715722,116598768721.64577,-14.01773427984538,78583581915.99074
4876,24.0,134.0,15.094254581236308,0.9610264989930171,12.062908967551294,116598768721.84511,-21.0448423315753,78583581916.85663
4865,24.0,123.0,14.309509692674963,0.9606600631145891,11.413376536112194,116598768721.91609,-10.847156443870839,78583581916.31412
4866,24.0,124.0,14.329286251581939,0.9609806798880278,11.43625925151143,116598768721.94771,-11.08501659100416,78583581916.31848
4864,24.0,122.0,14.285029381725158,0.9604083378214568,11.380942287793951,116598768721.96205,-10.661583896759156,78583581916.44908
4878,24.0,136.0,15.338650869808754,0.960777952770609,12.222685573527523,116598768722.17345,-18.241165380029372,78583581917.25287
4867,24.0,125.0,14.371354928174242,0.9609520374242665,11.472793020628373,116598768722.18146,-11.455414902699415,78583581916.64789
4875,24.0,133.0,15.050613326114417,0.9607198751677942,12.040067447851138,116598768722.33546,-20.96925064753847,78583581917.15532
4847,24.0,105.0,13.141290322942188,0.9627613473729655,10.595481587010937,116598768722.61397,-19.950586447284824,78583581916.92775
4851,24.0,109.0,13.36816425256462,0.9619870482936538,10.726383209723695,116598768722.62775,-8.100242035569634,78583581916.7188
4863,24.0,121.0,14.215547044619461,0.9602666659439093,11.325042625249152,116598768722.72682,-10.85165103931501,78583581917.31905
4874,24.0,132.0,15.005970736794055,0.9604092111787036,11.99748635461276,116598768722.8871,-18.79803986708205,78583581917.63782
4868,24.0,126.0,14.468217918343603,0.9606498213232074,11.542216324458934,116598768722.92645,-11.695019526794658,78583581917.4209
4873,24.0,131.0,14.963714139948257,0.9600356833061965,11.94276529518857,116598768723.26543,-18.171272854602737,78583581917.92181
4846,24.0,104.0,13.093480158579203,0.9628791357430234,10.560296836907996,116598768723.28156,-25.89696295154558,78583581917.65776
4869,24.0,127.0,14.57520184220003,0.960470971321055,11.634523574114423,116598768723.53252,-12.051578463104201,78583581918.00053
