date,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod,opec_tot_prod,opec_crud_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons,non-oecd_cons,world_cons
2010-12-12,88.35000000000001,,,,,,7.957285714285715,1049.6937142857143,726.5474285714286,4.983,34.71841958064516,29.666776064516128,33.52806638709678,3.861290322580645,54.75233875516129,47.666019344935485,42.87002759190323,90.53604693683872
2010-12-13,88.62,90.4,88.61,89.14,89.63,90.01,8.10742857142857,1048.9315714285715,726.5471428571428,4.983,34.740859451612906,29.68581816129032,33.53904396774194,3.853225806451613,54.753029731903226,47.58819649383871,42.80964010725807,90.39783660109677
2010-12-14,88.33,90.63,88.28,88.84,89.43,89.87,8.25757142857143,1048.1694285714286,726.5468571428572,4.983,34.76329932258064,29.704860258064517,33.5500215483871,3.8451612903225807,54.75372070864516,47.51037364274193,42.74925262261291,90.25962626535484
2010-12-15,88.66,91.33,88.62,89.24,89.89,90.38,8.407714285714286,1047.4072857142858,726.5465714285715,4.983,34.78573919354839,29.72390235483871,33.56099912903226,3.8370967741935487,54.7544116853871,47.432550791645156,42.688865137967746,90.12141592961291
2010-12-16,87.71,91.09,87.7,88.4,89.18,89.79,8.557857142857143,1046.645142857143,726.5462857142858,4.983,34.80817906451613,29.742944451612903,33.57197670967742,3.829032258064516,54.75510266212903,47.354727940548386,42.628477653322584,89.98320559387096
2010-12-17,88.02,91.11,88.02,88.6,89.37,89.95,8.708,1045.883,726.546,4.983,34.83061893548387,29.761986548387096,33.58295429032258,3.820967741935484,54.75579363887097,47.27690508945161,42.56809016867742,89.84499525812903
2010-12-18,88.24,,,,,,8.718285714285715,1045.7032857142858,726.546,4.983,34.853058806451614,29.78102864516129,33.593931870967744,3.8129032258064517,54.756484615612905,47.19908223835483,42.50770268403226,89.7067849223871
2010-12-19,88.46000000000001,,,,,,8.728571428571428,1045.5235714285714,726.546,4.983,34.87549867741936,29.800070741935482,33.604909451612905,3.8048387096774197,54.75717559235484,47.121259387258064,42.4473151993871,89.56857458664516
2010-12-20,88.68,91.31,88.81,89.37,90.16,90.8,8.738857142857142,1045.3438571428571,726.546,4.983,34.897938548387096,29.819112838709678,33.615887032258065,3.796774193548387,54.75786656909678,47.04343653616129,42.38692771474194,89.43036425090322
2010-12-21,89.3,93.11,89.82,90.64,91.27,91.72,8.749142857142857,1045.164142857143,726.546,4.983,34.92037841935484,29.83815493548387,33.626864612903226,3.788709677419355,54.75855754583871,46.96561368506451,42.326540230096775,89.2921539151613
2010-12-22,89.83,93.55,90.48,91.21,91.81,92.25,8.759428571428572,1044.9844285714287,726.546,4.983,34.942818290322585,29.857197032258064,33.63784219354839,3.7806451612903227,54.75924852258065,46.88779083396774,42.26615274545161,89.15394357941935
2010-12-23,90.84,93.63,91.51,92.16,92.69,93.1,8.769714285714285,1044.8047142857142,726.546,4.983,34.96525816129032,29.876239129032257,33.64881977419355,3.7725806451612907,54.759939499322584,46.809967982870965,42.20576526080645,89.01573324367742
2010-12-24,90.8775,,,,,,8.78,1044.625,726.546,4.983,34.987698032258066,29.89528122580645,33.65979735483871,3.764516129032258,54.76063047606452,46.73214513177419,42.14537777616129,88.87752290793549
2010-12-25,90.91499999999999,,,,,,8.727571428571428,1044.0305714285714,726.546,4.983714285714285,35.010137903225804,29.914323322580646,33.67077493548388,3.756451612903226,54.76132145280645,46.65432228067742,42.084990291516135,88.73931257219355
2010-12-26,90.9525,,,,,,8.675142857142857,1043.4361428571428,726.546,4.984428571428571,35.03257777419355,29.93336541935484,33.68175251612904,3.7483870967741937,54.762012429548385,46.57649942958064,42.02460280687097,88.60110223645162
2010-12-27,90.99,93.08,91.0,91.74,92.36,92.82,8.622714285714286,1042.8417142857143,726.546,4.985142857142857,35.05501764516129,29.952407516129032,33.6927300967742,3.7403225806451617,54.76270340629032,46.49867657848387,41.96421532222581,88.46289190070968
2010-12-28,91.48,93.52,91.49,92.23,92.83,93.27,8.570285714285713,1042.2472857142857,726.546,4.985857142857143,35.07745751612903,29.971449612903225,33.70370767741936,3.732258064516129,54.76339438303226,46.4208537273871,41.90382783758065,88.32468156496775
2010-12-29,91.13,93.52,91.12,91.9,92.53,92.99,8.517857142857142,1041.652857142857,726.546,4.986571428571429,35.099897387096775,29.990491709677418,33.71468525806452,3.724193548387097,54.76408535977419,46.34303087629032,41.84344035293549,88.18647122922582
2010-12-30,89.85,92.5,89.84,90.69,91.37,91.91,8.465428571428571,1041.0584285714285,726.546,4.987285714285715,35.12233725806452,30.009533806451614,33.72566283870968,3.7161290322580647,54.76477633651613,46.265208025193544,41.783052868290326,88.04826089348387
2010-12-31,91.38,93.23,91.38,92.22,92.91,93.41,8.413,1040.464,726.546,4.988,35.144777129032256,30.028575903225807,33.73664041935484,3.708064516129032,54.765467313258064,46.187385174096775,41.722665383645165,87.91005055774194
2011-01-01,91.45,,,,,,8.477142857142857,1040.1221428571428,726.5458571428571,4.985428571428572,35.167217,30.047618,33.747618,3.7,54.76615829,46.109562323,41.662277899,87.77184022200001
2011-01-02,91.52,,,,,,8.541285714285715,1039.7802857142856,726.5457142857143,4.982857142857143,35.15231751612903,30.032302,33.73230458064516,3.7000025806451613,54.74388498816129,46.1622240496129,41.692989284935486,87.85521333454838
2011-01-03,91.59,95.82,91.55,92.43,93.14,93.72,8.605428571428572,1039.4384285714284,726.5455714285714,4.980285714285714,35.13741803225807,30.016986,33.71699116129032,3.700005161290323,54.72161168632258,46.214885776225806,41.72370067087097,87.93858644709678
2011-01-04,89.39,93.52,89.38,90.42,91.32,92.07,8.669571428571428,1039.0965714285715,726.5454285714286,4.977714285714286,35.1225185483871,30.00167,33.701677741935484,3.700007741935484,54.69933838448387,46.26754750283871,41.75441205680645,88.02195955964515
2011-01-05,90.3,95.07,90.3,91.42,92.39,93.23,8.733714285714285,1038.7547142857143,726.5452857142857,4.975142857142857,35.10761906451613,29.986354,33.68636432258065,3.700010322580645,54.677065082645164,46.32020922945161,41.78512344274194,88.10533267219355
2011-01-06,88.37,94.95,88.38,89.75,90.9,91.84,8.797857142857143,1038.412857142857,726.5451428571429,4.972571428571428,35.09271958064516,29.971038,33.67105090322581,3.7000129032258067,54.654791780806455,46.37287095606452,41.815834828677424,88.18870578474194
2011-01-07,88.07,94.25,88.03,89.22,90.17,90.98,8.862,1038.071,726.545,4.97,35.0778200967742,29.955721999999998,33.65573748387097,3.700015483870968,54.63251847896774,46.42553268267742,41.84654621461291,88.27207889729033
2011-01-08,88.46,,,,,,8.876857142857142,1038.444714285714,726.5448571428572,4.969428571428571,35.06292061290323,29.940406,33.64042406451613,3.700018064516129,54.61024517712903,46.478194409290325,41.87725760054839,88.35545200983871
2011-01-09,88.85,,,,,,8.891714285714286,1038.8184285714285,726.5447142857142,4.968857142857143,35.04802112903226,29.92509,33.62511064516129,3.7000206451612905,54.58797187529032,46.53085613590322,41.90796898648387,88.4388251223871
2011-01-10,89.24,95.05,89.25,90.58,91.67,92.58,8.906571428571429,1039.1921428571427,726.5445714285714,4.968285714285714,35.033121645161295,29.909774,33.60979722580645,3.7000232258064516,54.56569857345161,46.583517862516125,41.938680372419356,88.52219823493547
