date,Total US RigCount,wti_spot_lag_14__benford_correlation,oecd_cons_smooth__benford_correlation,wti_fut_4__benford_correlation,wti_spot__benford_correlation,usa_net_import__benford_correlation,opec_surp_capac__range_count__max_1__min_-1,usa_l48_prod__abs_energy,brent_spot__benford_correlation,opec_surp_capac__abs_energy,wti_spot_lag_14,brent_spot,usa_net_import,usa_l48_prod,opec_surp_capac
2018-07-13,863.0,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,0.0,110.25,-0.24168999331500296,2.0388155005202915,63.074,75.28999999999998,7.605,10.5,1.4278709677419354
2018-07-06,863.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,0.0,110.25,-0.24168999331500296,2.052379730489074,64.9675,76.328,5.404,10.5,1.4326129032258064
2018-06-29,858.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.20094583070946112,0.0,110.25,-0.24168999331500296,2.0986351111111103,64.10600000000001,75.238,6.7189999999999985,10.5,1.4486666666666663
2018-06-22,862.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,110.25,-0.24168999331500296,2.2290490000000003,61.276,74.11600000000001,5.356,10.5,1.493
2018-06-15,863.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,108.16000000000001,-0.24168999331500296,2.3633937777777776,61.653999999999996,74.25999999999998,5.8679999999999986,10.4,1.5373333333333332
2018-06-08,862.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,108.16000000000001,-0.24168999331500296,2.501669444444444,62.07000000000001,73.97800000000002,6.069,10.4,1.5816666666666666
2018-06-01,861.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,106.09000000000002,-0.24168999331500296,2.6438759999999997,62.47,75.34750000000003,6.6320000000000014,10.3,1.626
2018-05-25,859.0,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.14527956152245,0.0,105.370225,-0.24168999331500296,2.8948278210197707,60.562,78.59,5.452000000000001,10.265,1.7014193548387095
2018-05-18,844.0,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.24168999331500296,-0.20094583070946112,0.0,104.96002499999999,-0.24168999331500296,3.157155800208116,62.013999999999996,78.75399999999998,6.4110000000000005,10.245,1.7768387096774192
2018-05-11,844.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,-0.14527956152245,0.0,104.468841,-0.24168999331500296,3.4308599375650375,65.318,76.29400000000003,5.035,10.221,1.8522580645161293
2018-05-04,834.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,104.06040100000001,-0.24168999331500296,3.7159402330905307,65.138,74.422,5.4460000000000015,10.201,1.9276774193548387
2018-04-27,825.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,102.21209999999999,-0.24168999331500296,3.8677777777777766,63.77,74.982,6.401,10.11,1.9666666666666663
2018-04-20,820.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,101.70722500000002,-0.24168999331500296,3.9138027777777777,63.25599999999999,73.61800000000002,6.138,10.085,1.9783333333333333
2018-04-13,815.0,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,0.0,101.04270399999999,-0.24168999331500296,3.9601,61.3625,71.244,6.181,10.052,1.99
2018-04-06,808.0,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.24168999331500296,0.0,100.54072899999998,-0.20094583070946112,4.0066694444444435,59.88,67.426,7.445,10.027,2.0016666666666665
2018-03-30,797.0,-0.14527956152245,-0.20094583070946112,-0.20094583070946112,-0.20094583070946112,-0.14527956152245,0.0,98.84336400000001,-0.20094583070946112,4.037506867845994,57.86800000000001,68.6475,5.723,9.942,2.0093548387096773
