date,Total US RigCount,wti_spot_lag_15,wti_spot_lag_9,wti_spot,brent_spot,wti_fut_1,wti_fut_2,wti_fut_3,wti_fut_4,usa_net_import_smooth,usa_net_import,usa_stocks_all,usa_stocks_spr,usa_l48_prod_smooth,usa_l48_prod,opec_tot_prod,opec_crud_capac,opec_surp_capac,non-opec_tot_prod,oecd_cons_smooth,oecd_cons,non-oecd_cons_smooth,non-oecd_cons,world_cons_smooth,world_cons,rig_change_4bin_week+4,rig_change_4bin_week+8,rig_pct_change_week+4,rig_pct_change_week+8
2019-12-20,685.0,56.16,53.488,60.75,68.902,60.74800000000001,60.658,60.354,59.94200000000001,3.1747500000000155,3.412,1076.326,634.967,12.34999999999999,12.4,34.07667129032258,31.76032258064516,2.9993548387096776,67.47613290051612,53.488,46.657922103580646,53.488,52.23721436948387,53.488,98.89513647306451,-,-,-0.017518248175182483,-0.01021897810218978
2019-12-13,667.0,55.59599999999999,53.27200000000001,59.24800000000001,66.498,59.25400000000001,59.15,58.862,58.48199999999999,2.9992500000000155,2.946,1081.8,634.967,12.34999999999999,12.3,34.15434870967742,31.71267741935484,2.8986451612903226,67.47620374548387,53.27200000000001,47.03851348641936,53.27200000000001,53.18738681851613,53.27200000000001,100.2259003049355,-,+,-0.01199400299850075,0.013493253373313344
2019-12-06,663.0,55.206,53.122,57.64,64.714,57.624,57.544,57.288,56.93600000000001,2.999000000000016,3.487,1082.886,634.9680000000002,12.34999999999999,12.3,34.232026129032256,31.665032258064517,2.797935483870968,67.47627459045161,53.122,47.419104869258064,53.122,54.13755926754838,53.122,101.55666413680643,+,+,0.010558069381598794,0.01809954751131222
2019-11-29,668.0,55.496,56.896,58.07,64.74000000000001,58.16,58.0825,57.8475,57.5175,2.9065000000000154,2.854,1082.262,635.1659999999998,12.349999999999987,12.4,34.28931,31.60493333333333,2.6932666666666667,67.4916187268,56.896,47.69702611140001,56.896,54.78505713093333,56.896,102.48208324233332,+,+,0.013473053892215571,0.011976047904191616
2019-11-22,671.0,55.306,59.33200000000001,56.9,63.762,57.14399999999999,57.114,56.902,56.562,3.1195000000000155,2.71,1088.122,636.17,12.27499999999999,12.4,34.295609999999996,31.5137,2.5787,67.5451460916,59.33200000000001,47.7182720018,59.33200000000001,54.675868530200006,59.33200000000001,102.39414053200001,+,+,0.020864381520119227,0.002980625931445604
2019-11-15,674.0,53.276,56.16,56.854,62.56399999999999,57.053999999999995,57.13199999999999,57.01200000000002,56.728,3.2845000000000155,2.945,1087.917,637.5369999999998,12.19999999999999,12.3,34.30191,31.422466666666665,2.4641333333333333,67.59867345640001,56.16,47.73951789220001,56.16,54.56667992946666,56.16,102.30619782166669,-,-,-0.010385756676557865,-0.02225519287833828
2019-11-08,684.0,56.54600000000001,55.59599999999999,56.69,62.39000000000001,56.902,56.93600000000001,56.77,56.43400000000001,3.0917500000000158,3.117,1088.51,639.509,12.14999999999999,12.3,34.308209999999995,31.33123333333333,2.3495666666666666,67.6522008212,55.59599999999999,47.7607637826,55.59599999999999,54.45749132873333,55.59599999999999,102.21825511133329,--,-,-0.030701754385964914,-0.02046783625730994
2019-11-01,691.0,56.053999999999995,55.206,55.17,60.226000000000006,55.358000000000004,55.44,55.343999999999994,55.108000000000004,3.0742500000000152,3.706,1087.734,640.952,12.09999999999999,12.1,34.31451,31.24,2.235,67.705728186,55.206,47.78200967300001,55.206,54.348302728,55.206,102.130312401,--,-,-0.03328509406657019,-0.020260492040520984
2019-10-25,696.0,56.74800000000001,55.496,55.20399999999999,60.74800000000001,55.26600000000001,55.391999999999996,55.316,55.088,2.8535000000000155,3.37,1080.505,641.6519999999998,12.09999999999999,12.1,34.35041322580645,31.21741935483871,2.180806451612903,67.53351154993547,55.496,47.76740409667742,55.496,54.12886182370968,55.496,101.8962659203871,--,-,-0.03591954022988505,-0.015804597701149427
2019-10-18,713.0,59.024,55.306,53.488,59.322,53.49400000000001,53.576,53.574,53.44600000000001,2.867000000000015,2.174,1075.501,642.35,12.04999999999999,12.1,34.3863164516129,31.19483870967742,2.1266129032258063,67.36129491387096,55.306,47.75279852035485,55.306,53.909420919419354,55.306,101.6622194397742,--,--,-0.0546984572230014,-0.06451612903225806
